product_id,category,sub_category,brand,product_title,Img_URL,short_description,long_description,price,currency,discount_percentage,stock_quantity,rating,review_count,variants,specifications,tags,reviews
LAP001,Electronics,Laptop,AeroTech,AeroBook Pro 15,null,High-performance gaming laptop,"Powerful laptop designed for gaming, editing and heavy multitasking with dedicated GPU.",74999,INR,10,25,4.3,120,"[{""color"":""Black"",""ram"":""16GB""},{""color"":""Silver"",""ram"":""16GB""}]","{""processor"":""Intel i7 12th Gen"",""ram"":""16GB DDR4"",""storage"":""512GB SSD"",""gpu"":""RTX 3050 4GB"",""display"":""15.6 inch FHD 144Hz"",""battery"":""70Wh""}","[""gaming"",""laptop"",""RTX"",""editing""]","[{""rating"":5,""comment"":""Great gaming performance""},{""rating"":3,""comment"":""Battery life is average""}]"
PHN001,Electronics,Smartphone,NovaTech,Nova X5 Pro,null,Flagship smartphone with AMOLED display,"Premium smartphone offering high refresh rate display, strong processor and advanced camera setup.",28999,INR,8,50,4.4,210,"[{""color"":""Black"",""storage"":""128GB""},{""color"":""Silver"",""storage"":""256GB""}]","{""processor"":""Snapdragon 8 Gen 1"",""ram"":""8GB"",""storage"":""128GB"",""camera"":""108MP + 12MP"",""battery"":""5000mAh"",""display"":""6.7 inch AMOLED 120Hz""}","[""smartphone"",""amoled"",""gaming"",""camera""]","[{""rating"":5,""comment"":""Camera quality is excellent""},{""rating"":4,""comment"":""Battery lasts full day""}]"
PHN002,Electronics,Smartphone,TechMax,MaxPhone 12 Ultra,null,Budget-friendly smartphone with dual camera,Affordable smartphone with excellent battery life and reliable performance for everyday tasks.,14999,INR,12,80,4,145,"[{""color"":""Blue"",""storage"":""64GB""},{""color"":""Black"",""storage"":""128GB""}]","{""processor"":""MediaTek Helio G88"",""ram"":""6GB"",""storage"":""64GB"",""camera"":""50MP + 8MP"",""battery"":""6000mAh"",""display"":""6.5 inch IPS LCD""}","[""budget"",""smartphone"",""long battery"",""everyday use""]","[{""rating"":4,""comment"":""Great value for money""},{""rating"":4,""comment"":""Battery lasts 2 days""}]"
TAB001,Electronics,Tablet,AeroTech,AeroPad Ultra 11,null,Premium tablet for productivity and entertainment,"Large screen tablet perfect for work, streaming and creative tasks with stylus support.",45999,INR,5,30,4.5,89,"[{""color"":""Space Gray"",""storage"":""128GB""},{""color"":""Silver"",""storage"":""256GB""}]","{""processor"":""Snapdragon 870"",""ram"":""8GB"",""storage"":""128GB"",""display"":""11 inch 2K LCD"",""battery"":""8000mAh"",""stylus"":""Supported""}","[""tablet"",""productivity"",""stylus"",""entertainment""]","[{""rating"":5,""comment"":""Perfect for note-taking""},{""rating"":4,""comment"":""Great for watching movies""}]"
HEAD001,Electronics,Headphones,SoundWave,WavePro Noise Cancelling,null,Wireless over-ear headphones with ANC,Premium wireless headphones with active noise cancellation and superior sound quality.,8999,INR,20,60,4.6,234,"[{""color"":""Black""},{""color"":""Silver""}]","{""type"":""Over-Ear"",""connectivity"":""Bluetooth 5.2"",""battery"":""30 hours"",""anc"":""Active"",""drivers"":""40mm""}","[""headphones"",""wireless"",""ANC"",""premium audio""]","[{""rating"":5,""comment"":""Noise cancellation is amazing""},{""rating"":4,""comment"":""Very comfortable for long use""}]"
HEAD002,Electronics,Earbuds,SoundWave,BudsPro TWS Earbuds,null,True wireless earbuds with charging case,Compact TWS earbuds with great sound quality and touch controls.,2999,INR,15,120,4.2,312,"[{""color"":""White""},{""color"":""Black""}]","{""type"":""In-Ear"",""connectivity"":""Bluetooth 5.0"",""battery"":""24 hours with case"",""water_resistance"":""IPX4"",""touch_controls"":""Yes""}","[""earbuds"",""TWS"",""wireless"",""portable""]","[{""rating"":4,""comment"":""Good sound quality""},{""rating"":4,""comment"":""Comfortable fit""}]"
CAM001,Electronics,Camera,PixelPro,ProShot DSLR 5000,null,Professional DSLR camera with 24MP sensor,High-quality DSLR camera perfect for photography enthusiasts and professionals.,52999,INR,8,15,4.7,67,"[{""type"":""Body Only""},{""type"":""With 18-55mm Lens""}]","{""sensor"":""24MP APS-C CMOS"",""iso"":""100-25600"",""video"":""4K 30fps"",""viewfinder"":""Optical"",""screen"":""3 inch Touchscreen""}","[""camera"",""DSLR"",""photography"",""professional""]","[{""rating"":5,""comment"":""Outstanding image quality""},{""rating"":4,""comment"":""Great for beginners""}]"
WATCH001,Electronics,Smartwatch,FitTech,FitWatch Pro 3,null,Advanced smartwatch with health tracking,"Feature-rich smartwatch with heart rate monitoring, GPS and fitness tracking.",12999,INR,10,45,4.3,178,"[{""color"":""Black"",""size"":""42mm""},{""color"":""Silver"",""size"":""46mm""}]","{""display"":""1.4 inch AMOLED"",""battery"":""7 days"",""sensors"":""Heart Rate, SpO2, GPS"",""water_resistance"":""5ATM"",""os"":""Wear OS""}","[""smartwatch"",""fitness"",""health tracking"",""GPS""]","[{""rating"":4,""comment"":""Accurate fitness tracking""},{""rating"":5,""comment"":""Battery life is excellent""}]"
LAP002,Electronics,Laptop,TechMax,MaxBook Air 14,null,Lightweight ultrabook for students,Portable and efficient laptop perfect for students and professionals on the go.,42999,INR,12,35,4.1,95,"[{""color"":""Silver"",""ram"":""8GB""},{""color"":""Gold"",""ram"":""16GB""}]","{""processor"":""Intel i5 11th Gen"",""ram"":""8GB DDR4"",""storage"":""512GB SSD"",""display"":""14 inch FHD"",""battery"":""50Wh"",""weight"":""1.3kg""}","[""laptop"",""ultrabook"",""lightweight"",""student""]","[{""rating"":4,""comment"":""Very portable""},{""rating"":4,""comment"":""Good for office work""}]"
TV001,Electronics,Television,VisionTech,UltraView 55 4K Smart TV,null,55-inch 4K UHD Smart TV,Stunning 4K display with HDR support and built-in streaming apps.,38999,INR,15,20,4.4,156,"[{""size"":""55 inch""},{""size"":""65 inch""}]","{""resolution"":""4K UHD"",""hdr"":""HDR10"",""smart"":""Android TV"",""sound"":""20W Dolby Audio"",""ports"":""3 HDMI, 2 USB""}","[""TV"",""4K"",""smart TV"",""HDR"",""streaming""]","[{""rating"":5,""comment"":""Picture quality is superb""},{""rating"":4,""comment"":""Great for movies""}]"
