product_id,category,sub_category,brand,product_title,Img_URL,short_description,long_description,price,currency,discount_percentage,stock_quantity,rating,review_count,variants,specifications,tags,reviews
LAP001,Electronics,Laptop,AeroTech,AeroBook Pro 15,null,High-performance gaming laptop,"Powerful laptop designed for gaming, editing and heavy multitasking with dedicated GPU.",74999,INR,10,25,4.3,120,"[{""color"":""Black"",""ram"":""16GB""},{""color"":""Silver"",""ram"":""16GB""}]","{""processor"":""Intel i7 12th Gen"",""ram"":""16GB DDR4"",""storage"":""512GB SSD"",""gpu"":""RTX 3050 4GB"",""display"":""15.6 inch FHD 144Hz"",""battery"":""70Wh""}","[""gaming"",""laptop"",""RTX"",""editing""]","[{""rating"":5,""comment"":""Great gaming performance""},{""rating"":3,""comment"":""Battery life is average""}]"
LAP002,Electronics,Laptop,TechMax,MaxBook Air 14,null,Lightweight ultrabook for students,Portable and efficient laptop perfect for students and professionals on the go.,42999,INR,12,35,4.1,95,"[{""color"":""Silver"",""ram"":""8GB""},{""color"":""Gold"",""ram"":""16GB""}]","{""processor"":""Intel i5 11th Gen"",""ram"":""8GB DDR4"",""storage"":""512GB SSD"",""display"":""14 inch FHD"",""battery"":""50Wh"",""weight"":""1.3kg""}","[""laptop"",""ultrabook"",""lightweight"",""student""]","[{""rating"":4,""comment"":""Very portable""},{""rating"":4,""comment"":""Good for office work""}]"
LAP003,Electronics,Laptop,Lenovo,ThinkPad X1 Carbon Gen 11,null,Ultra-light business laptop,"Premium business ultrabook with exceptional build quality and long battery life.",124999,INR,8,18,4.6,87,"[{""color"":""Black""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB LPDDR5"",""storage"":""1TB SSD"",""display"":""14 inch 2.8K OLED"",""battery"":""57Wh"",""weight"":""1.12kg""}","[""business"",""ultrabook"",""lightweight"",""thinkpad""]","[{""rating"":5,""comment"":""Best keyboard ever""},{""rating"":4,""comment"":""Excellent build""}]"
LAP004,Electronics,Laptop,HP,Pavilion Gaming 16,null,Powerful gaming laptop with RTX graphics,"High performance gaming machine with vibrant display and strong cooling.",89999,INR,15,32,4.4,134,"[{""color"":""Shadow Black"",""ram"":""16GB""}]","{""processor"":""AMD Ryzen 7 6800H"",""ram"":""16GB DDR5"",""storage"":""512GB SSD"",""gpu"":""RTX 4060 8GB"",""display"":""16.1 inch FHD 165Hz"",""battery"":""52Wh""}","[""gaming"",""RTX"",""ryzen"",""high performance""]","[{""rating"":5,""comment"":""Great for gaming""},{""rating"":4,""comment"":""Good value""}]"
LAP005,Electronics,Laptop,Dell,XPS 13 Plus,null,Premium ultrabook with stunning display,"Sleek and powerful laptop with edge-to-edge display for professionals and creators.",139999,INR,10,15,4.7,76,"[{""color"":""Platinum Silver""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""32GB LPDDR5"",""storage"":""1TB SSD"",""display"":""13.4 inch 3.5K OLED Touch"",""battery"":""55Wh""}","[""ultrabook"",""premium"",""creator"",""xps""]","[{""rating"":5,""comment"":""Beautiful screen""},{""rating"":5,""comment"":""Super fast""}]"
LAP006,Electronics,Laptop,ASUS,Vivobook 15 OLED,null,Everyday laptop with vibrant OLED screen,"Balanced performance laptop with stunning OLED display for entertainment and work.",52999,INR,12,45,4.3,112,"[{""color"":""Indie Black"",""ram"":""16GB""}]","{""processor"":""Intel i5 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""15.6 inch 2.8K OLED"",""battery"":""50Wh""}","[""oled"",""everyday"",""multimedia""]","[{""rating"":4,""comment"":""Colors are amazing""},{""rating"":4,""comment"":""Good performance""}]"
LAP007,Electronics,Laptop,Acer,Nitro 5 AN515,null,Affordable gaming laptop,"Solid gaming performance at a great price with good cooling system.",67999,INR,18,40,4.2,98,"[{""color"":""Black""}]","{""processor"":""Intel i7 12th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""gpu"":""RTX 3050"",""display"":""15.6 inch FHD 144Hz""}","[""gaming"",""budget gaming"",""nitro""]","[{""rating"":4,""comment"":""Good for the price""},{""rating"":4,""comment"":""Plays modern games""}]"
LAP008,Electronics,Laptop,MacBook,MacBook Air M3,null,Apple's thinnest laptop with M3 chip,"Lightning fast performance with all-day battery life and premium build.",114999,INR,5,22,4.8,245,"[{""color"":""Midnight""},{""color"":""Starlight""}]","{""processor"":""Apple M3"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""13.6 inch Liquid Retina"",""battery"":""18 hours""}","[""macbook"",""apple"",""ultralight"",""m3""]","[{""rating"":5,""comment"":""Insanely fast""},{""rating"":5,""comment"":""Best battery life""}]"
LAP009,Electronics,Laptop,Lenovo,Legion 5 Pro,null,High-end gaming laptop,"Powerful gaming beast with 165Hz display and RTX graphics.",109999,INR,12,28,4.5,89,"[{""color"":""Storm Grey""}]","{""processor"":""AMD Ryzen 7 7745HX"",""ram"":""32GB DDR5"",""storage"":""1TB SSD"",""gpu"":""RTX 4070"",""display"":""16 inch WQXGA 165Hz""}","[""gaming"",""legion"",""high refresh""]","[{""rating"":5,""comment"":""Monster performance""},{""rating"":4,""comment"":""Gets warm under load""}]"
LAP010,Electronics,Laptop,HP,Envy x360 14,null,Versatile 2-in-1 convertible laptop,"Premium convertible with OLED touch display and strong performance.",82999,INR,10,30,4.4,67,"[{""color"":""Nightfall Black""}]","{""processor"":""AMD Ryzen 7 7730U"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch 2.8K OLED Touch""}","[""2-in-1"",""convertible"",""touchscreen"",""premium""]","[{""rating"":5,""comment"":""Perfect for notes""},{""rating"":4,""comment"":""Great display""}]"
LAP011,Electronics,Laptop,Dell,Inspiron 14 5430,null,Reliable everyday performance laptop,"Balanced laptop for students and professionals with good battery.",58999,INR,15,55,4.2,78,"[{""color"":""Platinum Silver"",""ram"":""16GB""}]","{""processor"":""Intel i5 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch FHD+"",""battery"":""54Wh""}","[""everyday"",""student"",""office""]","[{""rating"":4,""comment"":""Solid all-rounder""},{""rating"":4,""comment"":""Good battery""}]"
LAP012,Electronics,Laptop,ASUS,ROG Strix G16,null,Flagship gaming laptop with RGB,"Extreme gaming performance with high refresh rate display.",149999,INR,8,12,4.6,56,"[{""color"":""Eclipse Grey""}]","{""processor"":""Intel i9 13980HX"",""ram"":""32GB"",""storage"":""1TB SSD"",""gpu"":""RTX 4080"",""display"":""16 inch QHD 240Hz""}","[""gaming"",""rog"",""rgb"",""high end""]","[{""rating"":5,""comment"":""Beast mode""},{""rating"":5,""comment"":""Amazing screen""}]"
LAP013,Electronics,Laptop,Microsoft,Surface Laptop 6,null,Ultra-premium Windows laptop,"Elegant design with excellent keyboard and touchpad.",112999,INR,10,20,4.7,65,"[{""color"":""Sapphire""}]","{""processor"":""Intel i7"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""13.8 inch PixelSense Touch""}","[""premium"",""surface"",""touch""]","[{""rating"":5,""comment"":""Feels luxurious""},{""rating"":4,""comment"":""Great for productivity""}]"
LAP014,Electronics,Laptop,Acer,Aspire 5,null,Best value for money laptop,"Reliable daily driver with good performance at affordable price.",44999,INR,20,70,4.1,145,"[{""color"":""Silver""}]","{""processor"":""AMD Ryzen 5 7530U"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""15.6 inch FHD""}","[""value"",""budget"",""student""]","[{""rating"":4,""comment"":""Great value""},{""rating"":4,""comment"":""Good for daily use""}]"
LAP016,Electronics,Laptop,MSI,GF63 Thin,null,Thin and light gaming laptop,"Compact gaming laptop with decent performance and good portability.",59999,INR,15,38,4.2,105,"[{""color"":""Black""}]","{""processor"":""Intel i5 12th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""gpu"":""RTX 3050"",""display"":""15.6 inch FHD 144Hz"",""battery"":""52Wh""}","[""gaming"",""thin"",""budget gaming""]","[{""rating"":4,""comment"":""Good performance for price""},{""rating"":4,""comment"":""Lightweight for gaming""}]"
LAP017,Electronics,Laptop,Samsung,Galaxy Book3 Pro,null,Premium ultrabook with AMOLED display,"Sleek laptop with stunning AMOLED screen and excellent battery life.",94999,INR,10,25,4.5,78,"[{""color"":""Graphite""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch 3K AMOLED"",""battery"":""68Wh""}","[""ultrabook"",""amoled"",""premium"",""samsung""]","[{""rating"":5,""comment"":""Display is stunning""},{""rating"":4,""comment"":""Very lightweight""}]"
LAP018,Electronics,Laptop,ASUS,Zenbook 14 OLED,null,Ultra-premium thin laptop,"Beautiful OLED display with powerful performance in a compact body.",89999,INR,12,30,4.6,92,"[{""color"":""Ponder Blue""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB LPDDR5"",""storage"":""1TB SSD"",""display"":""14 inch 2.8K OLED"",""battery"":""75Wh"",""weight"":""1.2kg""}","[""zenbook"",""oled"",""premium"",""thin""]","[{""rating"":5,""comment"":""Best display in this range""},{""rating"":5,""comment"":""Superb build quality""}]"
LAP019,Electronics,Laptop,HP,Omen 16,null,High performance gaming laptop,"Flagship gaming laptop with powerful cooling and high refresh rate screen.",129999,INR,8,20,4.5,67,"[{""color"":""Shadow Black"",""ram"":""32GB""}]","{""processor"":""Intel i9 13th Gen"",""ram"":""32GB DDR5"",""storage"":""1TB SSD"",""gpu"":""RTX 4070"",""display"":""16.1 inch QHD 165Hz""}","[""gaming"",""high end"",""omen"",""rgb""]","[{""rating"":5,""comment"":""Excellent gaming performance""},{""rating"":4,""comment"":""Runs hot during long sessions""}]"
LAP020,Electronics,Laptop,Lenovo,Yoga Slim 7,null,Stylish 2-in-1 ultrabook,"Premium convertible laptop with beautiful design and strong performance.",79999,INR,10,28,4.4,54,"[{""color"":""Slate Grey""}]","{""processor"":""AMD Ryzen 7 7735U"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch 2.8K OLED Touch""}","[""2-in-1"",""yoga"",""convertible"",""ultrabook""]","[{""rating"":5,""comment"":""Very versatile""},{""rating"":4,""comment"":""Great for creativity""}]"
LAP021,Electronics,Laptop,Dell,G15 Gaming,null,Value gaming laptop,"Reliable gaming performance at an affordable price point.",72999,INR,18,45,4.1,89,"[{""color"":""Dark Shadow"",""ram"":""16GB""}]","{""processor"":""Intel i7 12th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""gpu"":""RTX 3060"",""display"":""15.6 inch FHD 120Hz""}","[""gaming"",""budget"",""dell""]","[{""rating"":4,""comment"":""Good entry level gaming""},{""rating"":4,""comment"":""Decent cooling""}]"
LAP022,Electronics,Laptop,Apple,MacBook Pro 14 M3 Pro,null,Professional powerhouse laptop,"Ultimate laptop for creators and professionals with incredible performance.",189999,INR,5,12,4.8,134,"[{""color"":""Space Black""}]","{""processor"":""Apple M3 Pro"",""ram"":""18GB"",""storage"":""512GB SSD"",""display"":""14.2 inch Liquid Retina XDR"",""battery"":""22 hours""}","[""macbook"",""pro"",""creator"",""professional""]","[{""rating"":5,""comment"":""Insane performance""},{""rating"":5,""comment"":""Best laptop I've used""}]"
LAP023,Electronics,Laptop,Acer,Swift Go 14,null,Lightweight everyday ultrabook,"Fast and efficient laptop with long battery life for students and professionals.",57999,INR,15,52,4.3,76,"[{""color"":""Steel Gray""}]","{""processor"":""Intel i5 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch 2.8K OLED"",""battery"":""65Wh""}","[""ultrabook"",""lightweight"",""student"",""long battery""]","[{""rating"":4,""comment"":""Excellent battery life""},{""rating"":4,""comment"":""Very portable""}]"
LAP024,Electronics,Laptop,MSI,Stealth 15,null,Ultra thin gaming laptop,"Powerful performance in a slim chassis with minimal bezels.",99999,INR,10,22,4.4,63,"[{""color"":""Black""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""1TB SSD"",""gpu"":""RTX 4060"",""display"":""15.6 inch QHD 165Hz""}","[""gaming"",""thin gaming"",""stealth""]","[{""rating"":5,""comment"":""Surprisingly thin and powerful""},{""rating"":4,""comment"":""Great display""}]"
LAP025,Electronics,Laptop,HP,Victus 15,null,Popular mid-range gaming laptop,"Balanced gaming laptop with good specs and attractive design.",64999,INR,20,48,4.2,98,"[{""color"":""Performance Blue""}]","{""processor"":""AMD Ryzen 5 7535HS"",""ram"":""16GB"",""storage"":""512GB SSD"",""gpu"":""RTX 4050"",""display"":""15.6 inch FHD 144Hz""}","[""gaming"",""victus"",""mid range""]","[{""rating"":4,""comment"":""Great value for gaming""},{""rating"":4,""comment"":""Good performance""}]"
LAP026,Electronics,Laptop,Lenovo,ThinkPad E14,null,Reliable business laptop,"Durable business laptop with best-in-class keyboard.",68999,INR,12,35,4.5,82,"[{""color"":""Black""}]","{""processor"":""Intel i5 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch FHD""}","[""business"",""thinkpad"",""durable"",""office""]","[{""rating"":5,""comment"":""Best keyboard in laptops""},{""rating"":4,""comment"":""Very reliable""}]"
LAP027,Electronics,Laptop,ASUS,TUF Gaming A15,null,Tough and durable gaming laptop,"Military-grade durable gaming laptop with strong performance.",74999,INR,15,40,4.3,87,"[{""color"":""Mecha Gray""}]","{""processor"":""AMD Ryzen 7 7735HS"",""ram"":""16GB"",""storage"":""512GB SSD"",""gpu"":""RTX 4050"",""display"":""15.6 inch FHD 144Hz""}","[""gaming"",""tuf"",""durable""]","[{""rating"":4,""comment"":""Built like a tank""},{""rating"":4,""comment"":""Good for long gaming""}]"
LAP028,Electronics,Laptop,Dell,XPS 15,null,Creator focused premium laptop,"High-end laptop with excellent display for content creators.",159999,INR,8,18,4.6,54,"[{""color"":""Silver""}]","{""processor"":""Intel i9 13th Gen"",""ram"":""32GB"",""storage"":""1TB SSD"",""gpu"":""RTX 4060"",""display"":""15.6 inch 3.5K OLED Touch""}","[""creator"",""xps"",""premium"",""4k""]","[{""rating"":5,""comment"":""Perfect for video editing""},{""rating"":5,""comment"":""Gorgeous screen""}]"
LAP029,Electronics,Laptop,Lenovo,IdeaPad Gaming 3,null,Affordable entry-level gaming,"Great starter gaming laptop with solid specs.",57999,INR,18,60,4.1,112,"[{""color"":""Shadow Black""}]","{""processor"":""Intel i5 12th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""gpu"":""RTX 3050"",""display"":""15.6 inch FHD 120Hz""}","[""gaming"",""budget"",""ideapad""]","[{""rating"":4,""comment"":""Good for beginners""},{""rating"":4,""comment"":""Value for money""}]"
LAP030,Electronics,Laptop,Apple,MacBook Air M2,null,Popular thin and light MacBook,"Lightweight and powerful with excellent battery life and display.",84999,INR,8,30,4.7,178,"[{""color"":""Midnight""},{""color"":""Silver""}]","{""processor"":""Apple M2"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""13.6 inch Liquid Retina"",""battery"":""18 hours""}","[""macbook"",""air"",""ultralight"",""m2""]","[{""rating"":5,""comment"":""Perfect everyday laptop""},{""rating"":5,""comment"":""Battery lasts forever""}]"
LAP031,Electronics,Laptop,MSI,Cyborg 15,null,Lightweight gaming laptop,"Thin and stylish gaming laptop with strong performance.",74999,INR,12,35,4.3,89,"[{""color"":""Black""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB DDR5"",""storage"":""512GB SSD"",""gpu"":""RTX 4060"",""display"":""15.6 inch FHD 144Hz""}","[""gaming"",""thin"",""cyborg"",""rgb""]","[{""rating"":5,""comment"":""Surprisingly light""},{""rating"":4,""comment"":""Good cooling""}]"
LAP032,Electronics,Laptop,Samsung,Galaxy Book4 Pro,null,Ultra-slim premium laptop,"Modern ultrabook with excellent display and AI features.",104999,INR,10,22,4.5,67,"[{""color"":""Moonstone Gray""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""1TB SSD"",""display"":""14 inch 3K AMOLED"",""battery"":""68Wh""}","[""ultrabook"",""amoled"",""ai"",""premium""]","[{""rating"":5,""comment"":""Stunning display""},{""rating"":4,""comment"":""Very fast""}]"
LAP033,Electronics,Laptop,HP,Spectre x360 14,null,Luxury 2-in-1 convertible,"Premium convertible laptop with gem-cut design and OLED display.",119999,INR,8,18,4.6,54,"[{""color"":""Nocturne Blue""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""1TB SSD"",""display"":""14 inch 2.8K OLED Touch""}","[""2-in-1"",""luxury"",""spectre"",""convertible""]","[{""rating"":5,""comment"":""Feels very premium""},{""rating"":5,""comment"":""Best 2-in-1""}]"
LAP034,Electronics,Laptop,Lenovo,Legion Slim 5,null,Slim high-performance gaming,"Powerful yet slim gaming laptop with great display.",94999,INR,15,25,4.4,72,"[{""color"":""Storm Grey""}]","{""processor"":""AMD Ryzen 7 7840HS"",""ram"":""32GB"",""storage"":""1TB SSD"",""gpu"":""RTX 4060"",""display"":""16 inch WQXGA 165Hz""}","[""gaming"",""slim gaming"",""legion""]","[{""rating"":5,""comment"":""Perfect balance""},{""rating"":4,""comment"":""Great performance""}]"
LAP035,Electronics,Laptop,Dell,Inspiron 16 Plus,null,Large screen productivity laptop,"Big screen laptop ideal for multitasking and content consumption.",74999,INR,12,40,4.2,85,"[{""color"":""Platinum Silver""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""16 inch 3K"",""battery"":""60Wh""}","[""productivity"",""large screen"",""office""]","[{""rating"":4,""comment"":""Excellent screen size""},{""rating"":4,""comment"":""Good for work""}]"
LAP036,Electronics,Laptop,ASUS,ExpertBook B9,null,Ultra-light business laptop,"Extremely lightweight business laptop with long battery life.",89999,INR,10,15,4.5,48,"[{""color"":""Black""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""1TB SSD"",""display"":""14 inch FHD"",""weight"":""0.99kg""}","[""business"",""ultralight"",""expertbook""]","[{""rating"":5,""comment"":""Extremely portable""},{""rating"":4,""comment"":""Great battery""}]"
